StartDate	EndDate	Status	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Q1.1	Q1.2	Q1.3	Q1.4	Q1.5	Q1.5_5_TEXT	Q1.5_6_TEXT	Q1.6	Q1.6_4_TEXT	Q1.7	Q1.8	Q1.9	Q1.10	Q1.11	Q1.11_10_TEXT	Q1.12	Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	Q3.1	Q3.2	Q3.3	Q3.4	Q3.5	Q3.6	Q3.7	Q3.8	Q3.9	Q3.10	Q3.11	Q3.12	Q4.1	Q4.2	Q4.3	Q4.4	Q4.5	Q4.6	Q4.7	Q5.1	Q5.2	Q6.1	Q6.1_4_TEXT	Q6.2	Q6.2_4_TEXT	Q7.1	Q8.1	Q8.2	Q8.3	SC1	SC2	SC3	SC4	SC5	SC6	SC7	SC8	SC9	SC10	Condition	CorrectAnswers
28/03/2022 13:10	28/03/2022 14:53	0	100	6130	1	28/03/2022 14:53	R_2Yn9rUmfmFXwELp					53.19419861	6.562194824	anonymous	EN-GB	2	2	Through Ana	5	5	Linguist		4	Dutch	2	5	5	5	"1,3,4,5,7"		2	1	3	4	4	4	1	3	3	2	1	3	5	3	3	3	6	5	5	6	5	5	6	6	6	6		4		6	6	6	1		2						16	28	11	12	16	4	12	12	55	0	WATCHC	4
29/03/2022 16:29	29/03/2022 16:55	0	100	1567	1	29/03/2022 16:55	R_32LTxY38eCXdtpx					53.3381958	-6.259094238	anonymous	EN-GB	1	3	linkedin	5	1			1		2		3	5	"1,2,3"		2	2	3	2	4	4	2	3	1	2	3	3	4	6	4	2	4	3	4	1	2	1	4	6	6	7		4		7	4	1	1		2						8	30	13	10	7	8	10	5	38	0	WATCHA	8
30/03/2022 14:51	30/03/2022 16:42	0	100	6635	1	30/03/2022 16:42	R_1mRchkMnM7nyZix					52.51899719	-1.909393311	anonymous	EN-GB	2	2	Twitter	7	3			2			5	4	5	"1,4,5"		3	2	3	1	4	4	2	3	1	2	1	6	1	1	2	2	2	3	4	6	6	4	5	6	6	5		5		6	5	5	1		2						13	28	8	6	15	8	12	10	42	0	WATCHA	8
01/04/2022 13:12	01/04/2022 15:13	0	100	7239	1	01/04/2022 15:13	R_PALDZBJda0YzbeV					52.14709473	4.407806396	anonymous	EN-GB	1	2	professor	5	1			1		2		2	2	"2,3,8"		5	2	3	1	4	4	3	3	2	4	3	1	1	1	1	1	1	1	1	1	4	1	4	1	2	1	No sorry it all went by too fast	4		3	3	1	1		1			3	2	4	3	11	3	3	9	6	9	4	18	7	WATCHB	6
02/04/2022 00:46	02/04/2022 01:46	0	100	3560	1	02/04/2022 01:46	R_0IiHEHRvay4eUZX					35.68969727	139.6895142	anonymous	EN-GB	1	3	Twitter	3	6			4		2	3	4	5	"1,2,3,4"		3	2	3	2	3	4	4	4	2	2	1	1	3	3	6	3	2	2	6	5	3	2	5	1	4	5		4		4	5	2	3		1			3	3	4	13	18	7	11	10	5	12	7	41	8	WATCHB	5
02/04/2022 13:26	02/04/2022 14:06	0	100	2416	1	02/04/2022 14:06	R_4276nj3Ctd23Ox3					-25.55259705	-54.58769989	anonymous	EN-GB	1	3	whatssapp	5	6		tourism researcher	4	Portuguese	4	4	3	5	"1,2,5,8"		3	2	4	1	4	4	2	3	1	2	1	5	6	6	6	7	7	5	6	6	6	6	7	6	6	6		6		7	6	7	1		2		As there are several characters it would be interesting to use some pictures to easly remember them. It was confused to answer the questions trying remeber who was who.				17	31	17	20	19	7	11	13	73	0	WATCHC	7
02/04/2022 16:35	02/04/2022 17:00	0	100	1510	1	02/04/2022 17:00	R_YXFRr2Aicbc7M2d					54.97349548	-1.567306519	anonymous	EN-GB	1	2	Passed on by a friend	5	6		Scientist	1		1		5	5	"1,2,4,5"		3	2	3	1	2	4	2	4	1	2	3	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7		4		7	7	6	3		1						21	32	20	21	21	9	13	13	83	0	WATCHC	9
02/04/2022 16:36	02/04/2022 17:04	0	100	1637	1	02/04/2022 17:04	R_Zs1LVHV42K86qsN					49.16700745	-122.9687958	anonymous	EN-GB	2	3	Acquaintance	5	6		Non-language college instructor	1		1		4	3	"1,2,4,5,10"	Comedy	1	2	3	1	4	2	2	4	1	2	3	3	3	3	5	5	4	5	5	4	4	4	5	7	7	7		4		6	4	4	1		1		"Any lack of clarity wasn't because of the translation or subtitles, it was just a lot of characters to be introduced to in a short period of time and I probably didn't remember all of their names exactly"				14	31	9	14	13	9	8	8	50	0	WATCHA	9
02/04/2022 17:04	02/04/2022 17:37	0	100	1986	1	02/04/2022 17:37	R_PMw9nSuwB1upLXP					51.07000732	-1.797897339	anonymous	EN-GB	1	2	online forum	7	6		Mathematical modeller	1		1		5	5	"3,4,5"		3	2	3	4	2	4	2	4	1	2	3	2	1	1	2	2	3	3	6	5	2	2	5	6	5	2	"There were some sentences that just didn't seem to make sense, maybe direct translations of common colloquial phrases?
Very often the gender of the pronoun of the person being talked about  seemed to be wrong, particulaly in the conversations about texting the lady to go out
The sentence about being ugly was translated as ugly with an EFE which I presume is because ugly is spelt with an F in spanish, but would make more sense as ugly with a U."	4		3	5	2	1		1			3	2	3	14	20	4	7	9	8	13	7	34	6	WATCHB	8
02/04/2022 16:33	02/04/2022 18:33	0	100	7226	1	02/04/2022 18:33	R_3k5HBcUrLYJfLxa					23.72569275	90.40258789	anonymous	EN-GB	2	2	Linked to it by a friend.	4	4			1		1		5	5	"1,2,4"		3	2	3	2	2	2	2	4	3	2	3	3	4	3	5	5	5	5	6	5	6	5	5	7	6	6		5		7	6	5	1		1						16	31	10	15	16	6	13	11	57	0	WATCHC	6
03/04/2022 09:10	03/04/2022 09:38	0	100	1677	1	03/04/2022 09:38	R_27NfmFw8sTirMzx					45.09140015	7.663894653	anonymous	EN-GB	1	2	A friend shared it	4	6		Law	4	Italian	4	5	5	4	"3,4,5"		1	2	3	1	4	4	2	3	2	2	1	2	5	5	6	6	5	6	6	6	6	4	6	7	7	5		4		6	6	2	1		1						18	29	12	17	16	7	10	8	63	0	WATCHC	7
03/04/2022 10:31	03/04/2022 10:59	0	100	1653	1	03/04/2022 10:59	R_1CJzQg2Kk843vWb					53.61489868	-6.177505493	anonymous	EN-GB	1	3	LinkedIn 	4	6			1		2		3	4	"1,2,3"		4	2	3	3	4	4	2	4	1	2	3	3	3	5	6	6	6	5	5	4	4	3	5	7	5	6		4		6	6	2	2		1						14	28	11	18	12	9	11	8	55	0	WATCHA	9
04/04/2022 17:13	04/04/2022 18:59	0	100	6380	1	04/04/2022 18:59	R_2ZBIc5mUPLbz9NV					53.3382	-6.2591	anonymous	EN-GB	1	3	linkedin	7	4			1		1		2	2	10	Comedy	3	2	4	2	4	2	2	4	1	2	3	1	2	3	2	3	2	3	2	2	5	2	5	3	2	3	there was often pronoun confusion - you/he/she switches - so it was hard to follow who was being talked about or if there was another person involved	2	"lots of poor idiomatic translation - ""beat her up"" was probably supposed to be ""soften her up"" totally different meaning"	2	2	2	1		2			1	2	3	7	12	6	7	12	7	7	4	32	4	WATCHB	7
